,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,owns_car,Age,age_group,wealth_segment,postcode,state,country,property_valuation,recency,owns_car_flag
20,21,27,1582,2017-10-09,0.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1970-01-01 10:05:34,110.80999999999995,Male,32.0,Office Assistant III,Property,No,43.0,40-50,Mass Customer,2101.0,New South Wales,Australia,11.0,82,0
21,22,37,595,2017-06-29,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1970-01-01 10:06:01,1544.6100000000001,Male,72.0,VP Marketing,Financial Services,No,48.0,40-50,Mass Customer,4305.0,QLD,Australia,4.0,184,0
22,23,37,2001,2017-04-08,1.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1970-01-01 11:42:25,1544.6100000000001,Female,21.0,Analog Circuit Design manager,Manufacturing,Yes,44.0,40-50,Mass Customer,2800.0,New South Wales,Australia,4.0,266,1
23,24,82,515,2017-10-18,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 11:46:44,709.34,Female,55.0,Help Desk Operator,IT,No,32.0,30-40,High Net Worth,2026.0,New South Wales,Australia,12.0,73,0
26,27,64,2666,2017-04-11,1.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,1970-01-01 11:24:07,872.8900000000001,Male,2.0,Occupational Therapist,Health,No,50.0,40-50,Mass Customer,2151.0,New South Wales,Australia,8.0,263,0
27,28,19,76,2017-12-23,0.0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,1970-01-01 11:49:20,114.93,Female,20.0,Statistician II,Retail,Yes,43.0,40-50,High Net Worth,4213.0,QLD,Australia,9.0,7,1
28,29,72,3368,2017-10-13,1.0,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,1970-01-01 11:51:50,90.09999999999997,Female,7.0,Technical Writer,Financial Services,No,54.0,50-60,Affluent Customer,2564.0,New South Wales,Australia,8.0,78,0
29,30,91,1173,2017-03-15,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,1970-01-01 11:38:42,128.45999999999992,Female,58.0,Statistician IV,Retail,No,43.0,40-50,High Net Worth,2127.0,New South Wales,Australia,7.0,290,0
31,32,1,3214,2017-02-18,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1970-01-01 11:51:28,448.67999999999995,Female,2.0,Software Engineer III,Financial Services,Yes,28.0,<30,Mass Customer,4869.0,QLD,Australia,3.0,315,1
33,34,99,2003,2017-02-28,1.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,1970-01-01 10:49:51,189.27999999999997,Female,80.0,Statistician III,Manufacturing,Yes,59.0,50-60,High Net Worth,4500.0,QLD,Australia,7.0,305,1
34,35,0,2171,2017-08-20,0.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,1970-01-01 10:44:07,167.20999999999998,Female,21.0,Pharmacist,Health,No,51.0,50-60,High Net Worth,2138.0,New South Wales,Australia,9.0,132,0
35,36,92,3356,2017-07-07,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,1970-01-01 10:31:14,155.6500000000001,Male,47.0,Safety Technician II,Financial Services,Yes,62.0,60+,Mass Customer,3121.0,Victoria,Australia,8.0,176,1
36,37,14,1040,2017-01-09,0.0,Approved,Solex,Standard,high,large,1842.92,1105.75,1970-01-01 09:43:16,737.1700000000001,Female,78.0,Food Chemist,Health,No,46.0,40-50,High Net Worth,4556.0,QLD,Australia,8.0,355,0
37,38,2,2916,2017-12-06,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,1970-01-01 09:19:09,17.869999999999997,Male,23.0,Product Engineer,Manufacturing,Yes,52.0,50-60,Affluent Customer,4220.0,QLD,Australia,8.0,24,1
38,39,12,427,2017-09-12,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,1970-01-01 10:44:53,1069.5500000000002,Male,77.0,Assistant Media Planner,Entertainment,Yes,25.0,<30,Mass Customer,2065.0,New South Wales,Australia,11.0,109,1
39,40,0,2448,2017-11-28,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,1970-01-01 10:44:07,167.20999999999998,Female,5.0,Structural Analysis Engineer,Property,No,29.0,<30,High Net Worth,2219.0,New South Wales,Australia,10.0,32,0
40,41,44,2570,2017-05-08,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,1970-01-01 10:27:48,1660.88,Male,13.0,Professor,Financial Services,Yes,44.0,40-50,Mass Customer,4812.0,QLD,Australia,3.0,236,1
42,43,76,488,2017-03-17,0.0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,1970-01-01 11:38:42,128.45999999999992,Female,24.0,Help Desk Operator,Property,Yes,41.0,40-50,Mass Customer,3564.0,Victoria,Australia,2.0,288,1
43,44,46,165,2017-12-22,0.0,Approved,Solex,Standard,low,medium,1289.85,74.51,1970-01-01 10:27:48,1215.34,Male,61.0,Administrative Officer,Argiculture,Yes,37.0,30-40,Mass Customer,2032.0,New South Wales,Australia,10.0,8,1
46,47,35,475,2017-05-07,1.0,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,1970-01-01 09:35:27,903.11,Male,0.0,Nuclear Power Engineer,Manufacturing,No,25.0,<30,Affluent Customer,3012.0,Victoria,Australia,10.0,237,0
47,48,81,1305,2017-06-10,1.0,Approved,Solex,Standard,medium,medium,1151.96,649.49,1970-01-01 11:23:29,502.47,Male,97.0,Executive Secretary,Financial Services,Yes,51.0,50-60,High Net Worth,4124.0,QLD,Australia,4.0,203,1
48,49,86,1251,2017-06-17,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1970-01-01 10:36:46,110.56,Male,63.0,Desktop Support Technician,Property,No,24.0,<30,Mass Customer,4519.0,QLD,Australia,6.0,196,0
49,50,32,3103,2017-05-10,0.0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,1970-01-01 10:22:17,431.33000000000004,Female,5.0,Safety Technician II,Retail,No,68.0,60+,Mass Customer,4014.0,QLD,Australia,7.0,234,0
53,54,27,2549,2017-02-09,1.0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,1970-01-01 09:35:27,110.80999999999995,Male,12.0,Pharmacist,Health,Yes,23.0,<30,Mass Customer,2323.0,New South Wales,Australia,9.0,324,1
54,55,0,3140,2017-09-18,0.0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,1970-01-01 10:41:22,72.59999999999997,Female,2.0,Legal Assistant,Manufacturing,No,36.0,30-40,High Net Worth,2040.0,New South Wales,Australia,10.0,103,0
55,56,47,3406,2017-11-14,0.0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,1970-01-01 09:51:10,189.27999999999997,Female,35.0,Business Systems Development Analyst,IT,Yes,42.0,40-50,Mass Customer,2096.0,New South Wales,Australia,9.0,46,1
56,57,94,2294,2017-08-30,1.0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,1970-01-01 11:30:34,641.64,Male,25.0,Associate Professor,Manufacturing,No,34.0,30-40,Mass Customer,4017.0,QLD,Australia,5.0,122,0
57,58,91,1031,2017-11-14,0.0,Approved,Solex,Standard,medium,medium,100.35,75.26,1970-01-01 10:06:07,25.08999999999999,Male,75.0,Junior Executive,Manufacturing,No,38.0,30-40,Mass Customer,4053.0,QLD,Australia,7.0,46,0
58,59,93,993,2017-02-15,1.0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,1970-01-01 10:45:50,583.2700000000001,Female,71.0,Account Coordinator,Argiculture,No,44.0,40-50,High Net Worth,2871.0,New South Wales,Australia,3.0,318,0
60,61,0,1839,2017-02-24,0.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,1970-01-01 09:30:44,4.8,Female,60.0,Internal Auditor,Entertainment,Yes,34.0,30-40,High Net Worth,4152.0,QLD,Australia,8.0,309,1
61,62,33,1824,2017-12-18,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01 09:24:48,144.26,Female,12.0,Safety Technician III,Manufacturing,Yes,62.0,60+,Affluent Customer,3048.0,Victoria,Australia,6.0,12,1
65,66,86,3315,2017-02-23,1.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1970-01-01 10:06:07,110.56,Female,77.0,Account Executive,Property,Yes,27.0,<30,Mass Customer,3862.0,Victoria,Australia,7.0,310,1
66,67,2,75,2017-07-03,1.0,Approved,Solex,Standard,medium,medium,71.49,53.62,1970-01-01 11:27:25,17.869999999999997,Female,28.0,VP Product Management,Property,No,43.0,40-50,Mass Customer,2756.0,New South Wales,Australia,8.0,180,0
68,69,38,1612,2017-10-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1970-01-01 11:26:07,1702.5499999999997,Male,70.0,Community Outreach Specialist,Financial Services,Yes,34.0,30-40,High Net Worth,2441.0,New South Wales,Australia,4.0,70,1
70,71,54,419,2017-01-03,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,1970-01-01 11:05:15,1279.3999999999999,Female,34.0,VP Marketing,Manufacturing,No,40.0,30-40,Affluent Customer,4223.0,QLD,Australia,8.0,361,0
71,72,77,3307,2017-05-09,1.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,1970-01-01 11:17:52,1660.88,Female,96.0,Analyst Programmer,Health,No,43.0,40-50,High Net Worth,4740.0,QLD,Australia,2.0,235,0
74,75,58,1346,2017-06-20,0.0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,1970-01-01 11:44:55,771.12,Male,9.0,Administrative Assistant IV,Telecommunications,No,51.0,50-60,Mass Customer,3620.0,Victoria,Australia,4.0,193,0
75,76,22,927,2017-03-10,0.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1970-01-01 09:19:12,15.080000000000005,Male,25.0,Cost Accountant,Financial Services,Yes,55.0,50-60,Mass Customer,3199.0,Victoria,Australia,8.0,295,1
76,77,50,763,2017-06-02,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,1970-01-01 10:27:48,43.97,Female,95.0,Computer Systems Analyst IV,Manufacturing,No,34.0,30-40,Affluent Customer,2143.0,New South Wales,Australia,5.0,211,0
77,78,80,2397,2017-11-07,0.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1970-01-01 10:02:25,139.2299999999999,Male,33.0,Analyst Programmer,Retail,Yes,36.0,30-40,Affluent Customer,2142.0,New South Wales,Australia,7.0,53,1
78,79,87,102,2017-09-12,1.0,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,1970-01-01 09:54:27,471.6,Male,51.0,Quality Control Specialist,Manufacturing,No,65.0,60+,Affluent Customer,2168.0,New South Wales,Australia,9.0,109,0
80,81,84,759,2017-10-07,1.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1970-01-01 09:24:39,198.22000000000003,Male,89.0,Clinical Specialist,Health,No,58.0,50-60,High Net Worth,2227.0,New South Wales,Australia,10.0,84,0
83,84,33,3297,2017-11-02,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01 09:24:48,144.26,Male,39.0,Product Engineer,Manufacturing,No,46.0,40-50,Mass Customer,3213.0,Victoria,Australia,6.0,58,0
85,86,1,1861,2017-07-19,0.0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,1970-01-01 10:37:38,448.67999999999995,Female,26.0,Geological Engineer,Manufacturing,Yes,54.0,50-60,Mass Customer,2770.0,New South Wales,Australia,7.0,164,1
87,88,31,1390,2017-08-06,0.0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,1970-01-01 09:27:59,547.28,Female,74.0,Accounting Assistant I,Retail,Yes,21.0,<30,High Net Worth,3082.0,Victoria,Australia,7.0,146,1
88,89,0,2682,2017-04-04,1.0,Approved,OHM Cycles,Road,high,large,12.01,7.21,1970-01-01 11:11:43,4.8,Female,54.0,Accountant III,Manufacturing,Yes,34.0,30-40,High Net Worth,4740.0,QLD,Australia,5.0,270,1
90,91,17,1579,2017-04-15,1.0,Approved,Solex,Standard,high,medium,1024.66,614.8,1970-01-01 09:46:00,409.8600000000001,Female,40.0,Desktop Support Technician,Financial Services,Yes,43.0,40-50,Affluent Customer,2101.0,New South Wales,Australia,10.0,259,1
91,92,73,2984,2017-07-25,1.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,1970-01-01 10:11:08,1612.25,Female,48.0,Payment Adjustment Coordinator,Manufacturing,Yes,62.0,60+,Mass Customer,2106.0,New South Wales,Australia,11.0,158,1
92,93,33,3470,2017-11-28,1.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01 10:08:18,144.26,Female,56.0,Recruiting Manager,Health,Yes,54.0,50-60,Affluent Customer,3121.0,Victoria,Australia,11.0,32,1
93,94,86,1,2017-12-23,0.0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,1970-01-01 10:41:22,110.56,Female,93.0,Executive Secretary,Health,Yes,68.0,60+,Mass Customer,2016.0,New South Wales,Australia,10.0,7,1
94,95,45,757,2017-02-26,0.0,Approved,Solex,Standard,medium,medium,441.49,84.99,1970-01-01 09:27:51,356.5,Male,91.0,Environmental Tech,Financial Services,No,44.0,40-50,Mass Customer,4019.0,QLD,Australia,8.0,307,0
96,97,80,211,2017-05-31,1.0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,1970-01-01 10:38:59,139.2299999999999,Female,6.0,VP Marketing,Manufacturing,Yes,47.0,40-50,Mass Customer,2159.0,New South Wales,Australia,10.0,213,1
97,99,95,32,2017-03-26,0.0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,1970-01-01 10:31:14,41.129999999999995,Female,17.0,Legal Assistant,Manufacturing,No,26.0,<30,Affluent Customer,2756.0,New South Wales,Australia,9.0,279,0
100,102,4,2353,2017-04-14,0.0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,1970-01-01 11:17:29,451.6500000000001,Male,93.0,Health Coach IV,Health,Yes,43.0,40-50,Affluent Customer,2262.0,New South Wales,Australia,6.0,260,1
101,103,33,788,2017-11-12,0.0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,1970-01-01 09:24:48,144.26,Male,62.0,Social Worker,Health,No,57.0,50-60,Mass Customer,2141.0,New South Wales,Australia,9.0,48,0
102,104,78,1468,2017-09-12,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1970-01-01 10:36:33,1055.82,Female,37.0,Financial Advisor,Financial Services,No,43.0,40-50,Mass Customer,2519.0,New South Wales,Australia,9.0,109,0
103,105,89,821,2017-10-26,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1970-01-01 11:30:34,1305.25,Male,41.0,Financial Analyst,Financial Services,Yes,40.0,30-40,Mass Customer,2530.0,New South Wales,Australia,8.0,65,1
104,106,70,2489,2017-02-15,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,1970-01-01 11:41:45,198.29000000000002,Female,42.0,Speech Pathologist,Retail,No,45.0,40-50,Mass Customer,2102.0,New South Wales,Australia,9.0,318,0
106,108,26,947,2017-10-11,1.0,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,1970-01-01 09:28:35,1230.3000000000002,Female,43.0,Pharmacist,Health,No,35.0,30-40,Mass Customer,3021.0,Victoria,Australia,7.0,80,0
108,110,36,1076,2017-11-04,0.0,Approved,Solex,Standard,low,medium,945.04,507.58,1970-01-01 09:44:12,437.46,Male,33.0,Pharmacist,Health,No,21.0,<30,Affluent Customer,2515.0,New South Wales,Australia,9.0,56,0
109,111,0,3320,2017-06-11,1.0,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,1970-01-01 11:42:52,14.229999999999997,Female,16.0,Nuclear Power Engineer,Manufacturing,No,27.0,<30,High Net Worth,3109.0,Victoria,Australia,10.0,202,0
110,112,84,779,2017-10-09,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1970-01-01 09:24:39,198.22000000000003,Female,1.0,Staff Accountant III,Health,No,29.0,<30,High Net Worth,2093.0,New South Wales,Australia,9.0,82,0
111,113,98,3296,2017-06-07,1.0,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,1970-01-01 09:16:04,143.35999999999999,Female,78.0,Quality Engineer,Financial Services,Yes,47.0,40-50,Affluent Customer,2154.0,New South Wales,Australia,11.0,206,1
112,114,75,455,2017-10-24,1.0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,1970-01-01 10:31:13,1010.02,Male,97.0,Civil Engineer,Manufacturing,Yes,30.0,<30,Mass Customer,2233.0,New South Wales,Australia,10.0,67,1
113,115,76,1779,2017-05-01,0.0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,1970-01-01 10:41:22,128.45999999999992,Male,55.0,Information Systems Manager,Argiculture,No,25.0,<30,Affluent Customer,3141.0,Victoria,Australia,7.0,243,0
115,117,42,806,2017-03-24,0.0,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,1970-01-01 09:27:51,199.0999999999999,Male,66.0,Sales Representative,Retail,Yes,29.0,<30,Mass Customer,2767.0,New South Wales,Australia,9.0,281,1
117,119,64,1591,2017-02-20,0.0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,1970-01-01 10:44:07,872.8900000000001,Male,4.0,Operator,Manufacturing,Yes,45.0,40-50,Mass Customer,2073.0,New South Wales,Australia,12.0,313,1
118,120,0,678,2017-06-16,0.0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,1970-01-01 11:41:45,198.29000000000002,Female,57.0,Accounting Assistant II,IT,No,26.0,<30,High Net Worth,4352.0,QLD,Australia,7.0,197,0
119,121,25,50,2017-12-04,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 09:24:48,709.34,Male,38.0,Account Executive,Manufacturing,Yes,41.0,40-50,Mass Customer,2047.0,New South Wales,Australia,10.0,26,1
122,124,98,1339,2017-03-21,0.0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,1970-01-01 09:51:10,693.76,Female,82.0,Editor,IT,No,43.0,40-50,High Net Worth,3805.0,Victoria,Australia,8.0,284,0
125,127,84,2503,2017-03-16,1.0,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,1970-01-01 10:41:22,75.48000000000002,Male,80.0,Budget/Accounting Analyst I,Health,Yes,54.0,50-60,Affluent Customer,2760.0,New South Wales,Australia,7.0,289,1
126,128,25,1057,2017-02-26,0.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,1970-01-01 11:46:44,709.34,Female,73.0,Registered Nurse,Health,No,52.0,50-60,Mass Customer,2065.0,New South Wales,Australia,12.0,307,0
127,129,50,1397,2017-06-05,0.0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,1970-01-01 11:44:55,43.97,Male,29.0,Legal Assistant,Manufacturing,Yes,42.0,40-50,Mass Customer,3061.0,Victoria,Australia,5.0,208,1
128,130,44,2134,2017-09-04,0.0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,1970-01-01 11:17:52,1660.88,Male,16.0,Nurse,Manufacturing,No,21.0,<30,Affluent Customer,3175.0,Victoria,Australia,3.0,117,0
129,131,96,2403,2017-01-18,1.0,Approved,WeareA2B,Road,low,small,1172.78,1043.77,1970-01-01 10:25:39,129.01,Female,41.0,Technical Writer,Financial Services,No,44.0,40-50,Affluent Customer,2190.0,New South Wales,Australia,10.0,346,0
130,132,12,1937,2017-09-28,0.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,1970-01-01 10:36:56,1069.5500000000002,Male,69.0,Quality Engineer,Health,No,47.0,40-50,Mass Customer,2619.0,New South Wales,Australia,3.0,93,0
131,133,93,1282,2017-09-02,1.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,1970-01-01 10:25:39,834.9399999999999,Male,99.0,Programmer Analyst III,Entertainment,Yes,41.0,40-50,Affluent Customer,4340.0,QLD,Australia,5.0,119,1
132,134,78,2183,2017-05-09,0.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1970-01-01 09:17:09,1055.82,Female,61.0,Programmer Analyst IV,Manufacturing,Yes,49.0,40-50,Mass Customer,4132.0,QLD,Australia,4.0,235,1
133,135,84,1788,2017-10-17,0.0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,1970-01-01 10:47:39,198.22000000000003,Female,79.0,Account Representative IV,Financial Services,Yes,57.0,50-60,High Net Worth,2380.0,New South Wales,Australia,5.0,74,1
134,136,65,1170,2017-04-25,1.0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,1970-01-01 11:41:45,1028.76,Female,62.0,Assistant Professor,IT,Yes,57.0,50-60,Mass Customer,4064.0,QLD,Australia,9.0,249,1
135,138,29,1940,2017-08-02,0.0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,1970-01-01 10:13:53,834.9399999999999,Female,52.0,Teacher,Manufacturing,Yes,44.0,40-50,High Net Worth,4226.0,QLD,Australia,6.0,150,1
138,141,10,2728,2017-12-22,0.0,Approved,Solex,Standard,medium,medium,1945.43,333.18,1970-01-01 10:24:59,1612.25,Female,55.0,Physical Therapy Assistant,IT,No,62.0,60+,High Net Worth,3188.0,Victoria,Australia,11.0,8,0
141,144,92,1217,2017-12-20,0.0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1970-01-01 09:14:19,1630.25,Female,67.0,Structural Engineer,Manufacturing,No,53.0,50-60,High Net Worth,2580.0,New South Wales,Australia,4.0,10,0
142,145,7,2992,2017-06-07,1.0,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,1970-01-01 10:44:53,745.94,Female,26.0,Clinical Specialist,Health,Yes,47.0,40-50,Mass Customer,3429.0,Victoria,Australia,5.0,206,1
144,147,67,2748,2017-04-25,1.0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,1970-01-01 10:44:07,167.20999999999998,Female,96.0,Quality Engineer,Financial Services,No,54.0,50-60,Mass Customer,2260.0,New South Wales,Australia,11.0,249,0
145,148,14,3262,2017-01-13,0.0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,1970-01-01 10:30:38,152.54999999999995,Male,65.0,Product Engineer,Entertainment,No,62.0,60+,Mass Customer,4221.0,QLD,Australia,8.0,351,0
146,149,89,788,2017-03-21,0.0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1970-01-01 09:27:59,1305.25,Male,62.0,Social Worker,Health,No,57.0,50-60,Mass Customer,2141.0,New South Wales,Australia,9.0,284,0
147,150,9,3067,2017-11-21,1.0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,1970-01-01 09:36:26,75.13999999999999,Female,8.0,Chief Design Engineer,Manufacturing,Yes,30.0,<30,Mass Customer,3806.0,Victoria,Australia,6.0,39,1
148,151,31,701,2017-11-11,0.0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,1970-01-01 10:28:18,57.72999999999999,Male,18.0,Food Chemist,Health,Yes,65.0,60+,Mass Customer,4562.0,QLD,Australia,5.0,49,1
149,152,92,648,2017-10-16,0.0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,1970-01-01 10:13:53,155.6500000000001,Male,86.0,Accountant II,Financial Services,Yes,43.0,40-50,Mass Customer,4551.0,QLD,Australia,7.0,75,1
